PSA_ID,Domain,English,Kiswahili,Ekegusii,Somali,Dholuo,Target_Languages,Source,Date,Metadata
SEC_0001,Security & Safety,"At the UN High-Level Meeting, Eng. Nashon Kondiwa highlighted Kenya's Safe System approach to building safer roads through innovation, engineering, and education.","Katika Mkutano wa Ngazi ya Juu wa Umoja wa Mataifa, Eng. Nashon Kondiwa aliangazia mbinu ya Mfumo Salama wa Kenya kujenga barabara salama kupitia uvumbuzi, uhandisi na elimu.",,,,,NTSA (National Transport and Safety Authority),2026-07-21,tone=advisory; platform=website; category=Road Safety; sub_category=Road Safety
SEC_0002,Security & Safety,NTSA FACTS: Payment of Instant Fines.,UKWELI WA NTSA: Malipo ya Faini za Papo Hapo.,,,,,NTSA (National Transport and Safety Authority),2026-07-01,tone=advisory; platform=website; category=Services; sub_category=Road Safety
SEC_0003,Security & Safety,The Authority has clarified the enforcement of selected Motor Vehicle Inspection requirements affecting Commercial Service Vehicle Operators and School Transport Operators. Members of the public are advised to disregard misleading information and rely solely on official authorities' communication channels for accurate updates.,Mamlaka imetoa ufafanuzi wa utekelezaji wa mahitaji ya Ukaguzi wa Magari yaliyochaguliwa yanayoathiri Waendesha Magari ya Huduma ya Biashara na Waendeshaji Usafiri wa Shule. Wananchi wanashauriwa kupuuza taarifa za upotoshaji na kutegemea tu njia za mawasiliano za mamlaka rasmi kwa taarifa sahihi.,,,,,NTSA (National Transport and Safety Authority),2026-06-28,tone=advisory; platform=website; category=Notices; sub_category=Road Safety
SEC_0004,Security & Safety,"The Authority has announced a temporary moratorium on the licensing of new PSV operators, route additions, extensions, and modifications to enhance road safety, strengthen regulatory oversight, and streamline public transport operations.","Mamlaka imetangaza kusitisha kwa muda kutoa leseni kwa waendeshaji wapya wa PSV, uongezaji wa njia, upanuzi na marekebisho ili kuimarisha usalama barabarani, kuimarisha usimamizi wa udhibiti, na kurahisisha shughuli za usafiri wa umma.",,,,,NTSA (National Transport and Safety Authority),2026-06-19,tone=advisory; platform=website; category=Notices; sub_category=Road Safety
SEC_0005,Security & Safety,The authority has revoked the operator license of Nicco Movers 1 Sacco following findings of significant safety and compliance deficiencies that posed a risk to road users. The revocation takes effect immediately as part of the Authority's commitment to enhancing road safety.,Mamlaka hiyo imefuta leseni ya waendeshaji wa kampuni ya Nicco Movers 1 Sacco kufuatia matokeo ya dosari kubwa za usalama na uzingatiaji hali ambayo ilihatarisha watumiaji wa barabara. Ubatilishaji huo unaanza mara moja kama sehemu ya dhamira ya Mamlaka ya kuimarisha usalama barabarani.,,,,,NTSA (National Transport and Safety Authority),2026-06-12,tone=advisory; platform=website; category=Road Safety; sub_category=Road Safety
SEC_0006,Security & Safety,The Authority wishes to inform all motor vehicle owners that NTSA WILL NOT store currently printed and yet to be collected logbooks for more than a period of six (6) months.,Mamlaka inapenda kuwafahamisha wamiliki wote wa magari kuwa NTSA HAITAhifadhi vilivyochapishwa kwa sasa na bado vitakusanywa kwa muda wa zaidi ya miezi sita (6).,,,,,NTSA (National Transport and Safety Authority),2026-06-11,tone=advisory; platform=website; category=Notices; sub_category=Road Safety
SEC_0007,Security & Safety,The authority advises motor vehicle owners that eLogbooks are securely accessible only through the registered owner's NTSA Service Portal account and are not issued through third parties. Members of the public are urged to safeguard their personal information and remain vigilant against fraudulent individuals or platforms claiming to offer eLogbook services.,Mamlaka inawashauri wamiliki wa magari kuwa vitabu vya kielektroniki vinaweza kufikiwa kwa njia salama pekee kupitia akaunti ya Tovuti ya Huduma ya NTSA ya mmiliki aliyesajiliwa na hazitolewi kupitia wahusika wengine. Wananchi wanahimizwa kulinda taarifa zao za kibinafsi na kuwa macho dhidi ya watu walaghai au mifumo inayodai kutoa huduma za eLogbook.,,,,,NTSA (National Transport and Safety Authority),2026-06-11,tone=advisory; platform=website; category=Services; sub_category=Road Safety
SEC_0008,Security & Safety,"The National Transport and Safety Authority (NTSA) wishes to notify members of the public that the Government will operationalize a modernized enforcement framework for minor traffic offences under Sections 117 and 117A of the Traffic Act (Cap. 403), effective 1st June,2026.","Mamlaka ya Kitaifa ya Uchukuzi na Usalama (NTSA) inapenda kuwafahamisha umma kwamba Serikali itatekeleza mfumo wa kisasa wa utekelezaji kwa makosa madogo ya trafiki chini ya Kifungu cha 117 na 117A cha Sheria ya Trafiki (Sura ya 403), kuanzia tarehe 1 Juni, 2026.",,,,,NTSA (National Transport and Safety Authority),2026-05-28,tone=advisory; platform=website; category=Services; sub_category=Road Safety
SEC_0009,Security & Safety,Introduction of the electronic motor vehicle registration certificate (elogbook).,Utangulizi wa cheti cha usajili wa gari la kielektroniki (elogbook).,,,,,NTSA (National Transport and Safety Authority),2026-05-08,tone=advisory; platform=website; category=Services; sub_category=Road Safety
SEC_0010,Security & Safety,Withdrawal of the instant fines management system go live notice.,Ilani ya kuondolewa kwa mfumo wa usimamizi wa faini ya papo hapo itaonyeshwa moja kwa moja.,,,,,NTSA (National Transport and Safety Authority),2026-03-27,tone=advisory; platform=website; category=Services; sub_category=Road Safety
