PSA_ID,Domain,English,English_sw
EDU_00001,Education,KICD reminds parents in Kisumu County that bursary allocation registration is open this March.,
EDU_00002,Education,State Department for TVET reminds parents in Kiambu County that free day secondary education registration is open this October.,
EDU_00003,Education,Notice: TSC announces free primary education enrollment dates for schools in Kilifi County.,
EDU_00004,Education,IEBC encourages out-of-school children in Migori County to register their children at the nearest public school under school feeding programme.,
EDU_00005,Education,Universities Fund reminds parents in Nandi County that free day secondary education registration is open this March.,
EDU_00006,Education,KNEC urges residents of Laikipia County to register their children at the nearest public school to benefit from school feeding programme.,
EDU_00007,Education,TSC reminds parents in Kericho County that bursary allocation registration is open this February.,
EDU_00008,Education,KICD encourages out-of-school children in Tana River County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00009,Education,Universities Fund encourages out-of-school children in Busia County to enroll in the adult literacy programme under school feeding programme.,
EDU_00010,Education,Notice: KMTC announces adult literacy classes enrollment dates for schools in Kakamega County.,
EDU_00011,Education,TVET encourages out-of-school children in Bungoma County to register their children at the nearest public school under adult literacy classes.,
EDU_00012,Education,TSC urges residents of Nakuru County to apply for the bursary before the deadline to benefit from free primary education.,
EDU_00013,Education,Teachers Service Commission encourages out-of-school children in Kiambu County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00014,Education,Universities Fund reminds parents in Busia County that free primary education registration is open this September.,
EDU_00015,Education,State Department for TVET reminds parents in Lamu County that free day secondary education registration is open this August.,
EDU_00016,Education,Notice: State Department for TVET announces bursary allocation enrollment dates for schools in Machakos County.,
EDU_00017,Education,KMTC urges residents of Garissa County to apply for the bursary before the deadline to benefit from school feeding programme.,
EDU_00018,Education,Notice: KMTC announces free day secondary education enrollment dates for schools in Turkana County.,
EDU_00019,Education,TSC encourages out-of-school children in Uasin Gishu County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00020,Education,HELB encourages out-of-school children in Nakuru County to register their children at the nearest public school under school feeding programme.,
EDU_00021,Education,TVET reminds parents in Embu County that school feeding programme registration is open this September.,
EDU_00022,Education,State Department for TVET reminds parents in Kajiado County that free primary education registration is open this March.,
EDU_00023,Education,Teachers Service Commission reminds parents in Embu County that free primary education registration is open this November.,
EDU_00024,Education,TSC encourages out-of-school children in Elgeyo-Marakwet County to register their children at the nearest public school under adult literacy classes.,
