url,title,text,language
https://www.education.go.ke/january-2025-school-re-opening#main-content,January 2025 School Re-opening | Ministry of Education - Kenya,"Accessibility Tools Basic Education PS Dr. Belio Kipsang addresses school management, grade-nine students and monitoring classrooms during first-Term opening day in various schools in Nairobi and Kiambu Counties. The PS said the Ministry is ready to fully implement the CBC programme.",en
https://www.education.go.ke/,Homepage | Ministry of Education - Kenya,"Accessibility Tools REPORT CORRUPTION IN THE PLACEMENT OF GRADE 10 LEARNERS IN SENIOR SCHOOL Cabinet Secretary Julius Migos Ogamba commissions new classrooms at Uthiru Comprehensive School and Rukubi Comprehensive School in Kabete Sub-County, Kiambu County. Education CS Julius Ogamba flanked by (left to right) Dr. Esther Mworia, PS Technical and Vocational Education Training (TVET), Dr. Beatrice Inyangala, PS Higher Education and Prof. (Amb.) Julius Bitok, PS Basic Education. PS TVET DR. ESTHER MUORIA WELCOMING THE PRIME CABINET SECRETARY HON. DR MUSALIA MUDAVADI TO TVET@100 CELEBRATIONS HELD AT KABETE NATIONAL POLYTECHNIC PS Prof. Julius Bitok Commissions Classrooms at Kwa Njenga Primary CS Julius Ogamba signs Education MOU with his Denmark counterpart Christina Egelund President Dr. William Ruto, Deputy President Prof. Kithure Kindiki, Education CS Julius Ogamba visit a school February 27th 2025 PS TVET, DR. ESTHER MUORIA WELCOMING CS EDUCATION, HON. JULIUS OGAMBO TO THE WORLDSKILLS COMPETITION HELD AT KSTVET Mbauro Comprehensive School Wundanyi, Taita Taveta County Read More The Cabinet Secretary for Education Julius Migos Ogamba during the posting report of the 2,000 TVET trainers. CS Hon. Julius Ogambo and PS higher education and PS TVET lead bilateral talks with the British high commission led by Desmond Neil. The newly appointed Cabinet Secretary for Education Mr Julius Migosi Agambo meets the Principal Secretary for the State Department of Basic Education, Dr. Belio Kipsang, and his counterpart in the State Department of Technical, Vocational Education and Training, Dr. Esther Mouria in his office at Jogoo House. VC's Conference Mombasa 2024 The Ministry of Education (MOE) formulates and implements education and training policies, standards, curricula, examinations and the granting of university charters. It is also responsible for the management of universities, tertiary educational institutions and other institutions of research and higher learning and primary schools, special education, secondary schools and special education institutions. The Ministry derives its mandate from the Constitution of Kenya, the Statutes on education, and the Executive Order No. 1 of 2020 (Revised) on the Organization of the Government of the Republic of Kenya. Read more",en
https://www.education.go.ke/background-information,Background Information | Ministry of Education - Kenya,"Accessibility Tools Background Information The Fourth Schedule of the Constitution of Kenya Articles 185(2), 186(1) and 187(2) distributes functions between the national and county governments. The National Government undertakes; education policy, standards, curriculum, examinations, granting of university charters, universities, tertiary educational institutions, institutions of research, higher learning, primary schools, special education, secondary schools, special education institutions and promotion of sports and sports education. While the County Government in relation to education are: pre-primary education, village polytechnics, home-craft centres, farmers training centres and childcare facilities. In addition, Parliament, over the years has enacted a series of Acts on various dimensions of education whose objects and goals the Ministry is expected to implement to give effect to the Constitutional provisions pertaining to education and training. Under the Executive order no. 1 of 2023 (Revised) on the Organization of the Government of the Republic of Kenya, the Ministry is headed by a Cabinet Secretary, assisted by three (3) Principal Secretaries, each heading a State Department. The three State Departments are The State Department for Basic Education; the State department for Vocational and Technical Training and; the State Department for Higher Education and Research.",en
https://www.education.go.ke/vision-mission,Vision & Mission | Ministry of Education - Kenya,"Accessibility Tools A globally competitive education, training, research and innovation system for sustainable development. To provide, promote and coordinate quality education, training and research; and enhance integration of Science, Technology and Innovation into national production systems for sustainable development. In pursuit of our vision and mission, we will be guided by the following fundamental core values:",en
https://www.education.go.ke/node/270,Service Charter | Ministry of Education - Kenya,Accessibility Tools This is our citizen service delivery charter,en
https://www.education.go.ke/past-ministers,Past Ministers | Ministry of Education - Kenya,"Accessibility Tools Minister for Education, Science and Technology Minister for Basic Education 1975 Minister for Basic Education",en
https://www.education.go.ke/state-departments,State Departments | Ministry of Education - Kenya,"Accessibility Tools Core Functions The core functions of the State Department are as follows: The functions of the State Department are also guided by the Universities Act 2012 Revised (2015, 2016 and 2018), the Science, Technology, and Innovation Act 2013 and the Sessional Paper No. 1 of 2019 on a Policy Framework for Reforming Education and Training for Sustainable Development in Kenya. Mandate The State Department for Higher Education & Research derives its mandate from executive order no. 1 of 2023 issued under the hand and seal of the President on the 6th day of January the year of our lord two thousand and twenty-three. Objectives The main objectives of the State Department include: Achievements and status of ongoing projects The Government has expanded access through establishment of new universities and expansion of the existing ones that has increased enrolment in universities. The number of universities, both public and private increased to seventy-eight (78) in 2022/23. The universities comprise of thirty-eight (38) Public Chartered Universities, four (4) Public University Constituent Colleges, twenty-five (25) Private Chartered Universities, eight (8) Universities operating with Letters of Interim Authority (LIA) and three (3) Private University Constituent Colleges. A summary of the type and number of Universities is the table below. UNIVERSITIES NUMBER Public Chartered Universities 38 Public Universities Constituent Colleges 4 Private Chartered Universities 25 Private Universities with Letters of Interim Authority 8 Private Universities Constituent Colleges 3 Registered - Total 78 Scholarship for University Education Administration of scholarships offered by friendly countries One thousand six hundred and ninety-three (1693) International scholarships have been granted to the Government of Kenya through the Ministry of Education since 2018. The State Department receives scholarship offers from friendly countries on an annual basis. These scholarships which are given through bilateral agreements, are aimed at building a competent workforce to meet the National development goals. These scholarships are also meant to assist bright needy students as well as build capacity in areas where the country needs specialized skills. The Ministry of Education s Directorate of Higher Education is Mandated to process the scholarships. The type of scholarships includes those which are either fully or partially funded. Full scholarships cater for the cost of airfare, tuition and medical insurance in addition to a stipend which assists the student in paying for accommodation and meals. In Partial Scholarships, the donor country meets only part of the total expenses. Usually the donor country pays for tuition fees only. The student is required to meet the cost of airfare, accommodation, medical insurance cover and other expenses related to the course of study. The terms and conditions of scholarships received are announced to the general public through an advertisement on MyGov pull out on Tuesdays and Ministry website requesting the candidates to apply. Since 2018 the Ministry of Education has processed scholarships from fifteen (15) countries. The attached list shows the applicants and beneficiaries over the years. The number of applicants and beneficiaries  visas summarized in the table below: YEAR No. OF APPLICANTS No. OF BENEFICIARIES 2018/2019 1396 293 2019/2020 861 278 2020/2021 816 299 2021/2022 1851 290 2022/2023 2202 325 2023/2024 1501 208 TOTAL 8627 1693 In order to effectively undertake its mandate, the State Department also comprises 38 Public Universities, 4 University Constituent Colleges and two (2) specialized degree awarding Public Universities, eight (8) Semi-Autonomous Government Agencies (SAGAs), which are charged with various responsibilities as presented in table 1. Table1: SAGAs and their Mandate In addition to the two directorates, the state department has Administration Department where all other sections fall including Central Planning Unit, Accounts, Supply Channel Services, Human Resource Management, Public Communication, Legal Services, ICT and Finance. The mandate and functions Mandate and functions OBJECTIVES 1. To develop and review Research, Science and Technology policies, strategies and related instruments including frameworks, papers and reports. 2. To promote and manage quality Science and Technology outputs through forums, repositories and National Innovation System. 3. To establish collaboration, partnerships and linkages in Science, Technology and Innovation. 4. To mobilize resources for Research, Innovation and Infrastructure development. 5. To enhance Intellectual Property Management 6. To coordinate the establishment of Science and Technology Parks and facilitate Technology transfer. ACHIEVEMENTS Vision The vision for the TVET sub-sector is to provide skilled and globally competitive employable human resource Mission To provide, promote and co-ordinate the training sector by assuring quality, inclusiveness and relevance for the enhancement of the national economy and global competitiveness. TVET Goal To provide relevant and adequate skills and competencies in strategic disciplines by 2020 for spurring industrial and economic development in line with the aspirations of the Kenyan peoples The main objective of TVET is to develop an effectively co-ordinated and harmonized TVET system that is capable of producing quality skilled human resource with the right attitudes and values required for growth and prosperity of the various sectors of the economy. Specific objectives of TVET are to:   Functions for more information visit https://www.tvet.go.ke",en
https://www.education.go.ke/cabinet-secretary,Cabinet Secretary | Ministry of Education - Kenya,"Accessibility Tools Mr. Julius Migos Ogamba, is an advocate of the High Court of Kenya, who was before his appointment serving as the Chairperson of the Board of Directors of Kenya Electricity Generating Company PLC (KenGen), and Senior Partner at Migos-Ogamba and Waudo Advocate. Mr. Ogamba is a seasoned, visionary and accomplished legal practitioner of over 30 years  experience. He is a driven advocate with a proven track record of leading teams, forging long-lasting client relationships and influencing organizational productivity by ensuring compliance with legal and regulatory requirements. Mr. Ogamba holds a Bachelor of Laws degree from the University of Nairobi, a postgraduate Diploma in Law from the Kenya School of Law, and a Diploma in Law from the Institute of Advanced Legal Studies, University of London. His professional affiliations include memberships in the Law Society of Kenya and the Institute of Certified Secretaries of Kenya. He has undertaken training on board leadership, corporate governance for directors, board mastery programme, and political leadership development programme.",en
https://www.education.go.ke/principal-secretary,Principal Secretary | Ministry of Education - Kenya,"Accessibility Tools JOHN LEKAKENY OLOLTUAA, CBS PRINCIPAL SECRETARY, STATE DEPARTMENT FOR BASIC EDUCATION. PS John Lekakeny Ololtuaa leads the State Department for Basic Education , bringing over three decades of experience across nearly every level of Kenya's education system. Born in Kilgoris, Trans Mara West Sub-County, Narok County, he holds a Bachelor of Education (Arts) and a Master's in Education Administration, both from Kenyatta University. His career began in 1993 as an assistant teacher, rising through the ranks to Principal of Ennosaen Secondary School, District Education Officer (Suba, Mbita, and Bomet), County Director of Education (Bomet and Kajiado), and Regional Director of Education overseeing the Eastern, Nairobi, Rift Valley, and Central regions. He also served with the Transition Authority as County Transition Coordinator for Narok County during Kenya's shift to devolved government. In 2022, he was appointed Principal Secretary, State Department for Tourism, in the Ministry of Tourism and Wildlife, where he drove tourism promotion, policy formulation, and industry diversification. He now brings that cross-government experience to Basic Education, steering the implementation of Competency-Based Education (CBE) as the first cohort progresses through Senior School, while prioritizing school safety, inclusive education, teacher management, and stronger collaboration with sector partners and stakeholders. PS Ololtuaa's leadership is distinguished by institutional memory built from the classroom up an insider's understanding of how national policy translates into outcomes at the school level. As accounting officer, PS Ololtuaa is responsible for the day-to-day management and coordination of the State Department for Basic Education, overseeing the following core functions: 1.Early Childhood, Primary, Secondary, and Teacher Training Education Policy Management 2.Primary and Secondary Education Institutions Management 3.School Administration and Programmes 4.Registration of Basic Education and Training Institutions 5.Management of Education Standards 6.Management of National Examinations and Certification 7.Curriculum Development 8.Quality Assurance in Education 9.Special Needs Education Management 10.Representation of Kenya in Africa UNESCO 11.Teacher Training 12.Adult Education Management Oversight of Semi-Autonomous State Agencies (SAGAs) The PS also provides oversight authority for the following State Agencies under the State Department for Basic Education: 1.Kenya National Examinations Council (KNEC) 2.Kenya Institute of Curriculum Development (KICD) 3.Kenya Institute of Special Education (KISE) 4.Kenya Literature Bureau (KLB) 5.Kenya Institute for the Blind (KIB) 6.Centre for Mathematics, Science, and Technology in Africa (CEMASTEA) 7.Kenya National Commission for UNESCO 8.Kenya Education Management Institute (KEMI) 9.School Equipment Production Unit (SEPU) 10.Jomo Kenyatta Foundation (JKF) 11.National Commission for Nomadic Education (NACONEC) Dr. Beatrice Muganda Inyangala is the Principal Secretary, the State Department for Higher Education and Research, Ministry of Education, Kenya. She is a passionate educator and leader who is committed to transforming higher education and its impact on the continent and globally. Prior to her appointment, she worked for the Partnership for African Social and Governance Research (PASGR); a pan-African not-for-profit organization for 11 years, and exited as the Deputy Executive Director. Her accomplishments through the Pedagogical Leadership in Africa (PedaL) project are internationally acclaimed. She has extensive knowledge of actors, issues, challenges and opportunities in African higher education and has trained over 3,000 teaching staff in 91 universities in 11 African countries in innovative pedagogies. She has contributed immensely to the formulation of education policy and participated in education policy debates within the region and globally: Association of African Universities; EU-Africa policy dialogues; London School of Economics Africa Summit, among others. She holds a B.Ed and M. Phil in Planning and Economics of Education, Moi University, Kenya; PhD from the University of Athens, and has received further training at the International Institute of Educational Planning in Paris, France. Dr. Esther Thaara Muoria, PhD Principal Secretary, State Department for Technical, Vocational Education and Training Dr. Esther Muoria is a seasoned manager with over 30 years  experience in various managerial roles. Prior to joining the Ministry of Education, she served as the Registrar, Academic Affairs in Jomo Kenyatta University of Agriculture and Technology where she oversaw academic and student matters. She has also served as a Senior Probation Officer in different districts where she was responsible for liaising with other Government departments, local councils and Non Governmental organizations in coordinating correctional services. She is committed to promoting technical, and vocational education and training through diversity and inclusion of students from all regions of Kenya as a means of boosting the much-needed technical skills required in the Country and appropriately preparing the graduates for the world of work. Dr. Muoria holds a PhD from Jomo Kenyatta University of Agriculture and Technology and has published in several journals. For more information visit TVET WEBSITE",en
https://www.education.go.ke/scholarships-0,Scholarships | Ministry of Education - Kenya,Accessibility Tools Standard Scholarship Application Form SCHOLARSHIPS IN TUNISIAN UNIVERSITIES FOR THE ACADEMIC YEAR 2026/2027 IRISH AID FUNDED FELLOWSHIP PROGRAMME FOR THE YEAR 2027/2028 SLOVAK SCHOLARSHIPS FOR TALENTED STUDENTS FROM ALL OVER THE WORLD - 2026/2027 COURSE ANNOUNCEMENT: THE BISHOP WILLIAMS MEMORIAL FUND SCHOLARSHIP COURSE ANNOUNCEMENT: 12TH EDITION OF THE SCIENCE BY WOMEN PROGRAM   WOMEN FOR AFRICA RE-ADVERTISEMENT: KINGDOM OF MOROCCO SCHOLARSHIP FOR THE YEAR 2026/2027 STUDY OPPORTUNITIES IN BAHRIA UNIVERSITY-PAKISTAN GOVERNMENT OF MEXICO EXCELLENCE SCHOLARSHIP KINGDOM OF MOROCCO SCHOLARSHIPS FOR THE YEAR 2026/2027 MALAYSIAN TECHNICAL COOPERATION PROGRAMME (MTCP) SCHOLARSHIPS FOR MASTERS PROGRAMMES - ACADEMIC YEAR 2026 AYUSH SCHOLARSHIP PROGRAMME INDIA,en
