src_text,tgt_text,src_code,tgt_code,PSA_ID,Domain
Ase oboikeranu amachiko obochenu igoro yendwari Yenyamayaa (COVID-19) ase chisukuru koigora amo nogochika kobeka ebitambaa biogotuma emenwa nechiomioro na gopima ribera ase omobere,Itifaki kamili za afya na usalama za COVID-19 kwa ajili ya kufungua shule ikiwa ni pamoja na barakoa za lazima na ufuatiliaji wa halijoto,,swh_Latn,7,Education
[Eintaneti yekeombe keria ekenen gekorangeria abana gochia eyunifasisiti nechikorechi (KUCCP) neigoro omotienyi ogatato omwaka 2025 noigore ase abana beyunifasity na gochora chikosi chiabo ase abana baria barigete amatemwa abo esekondari 2024,Lango la KUCCPS litafunguliwa Machi 2025 kwa nafasi za chuo kikuu na uteuzi wa kozi kwa watahiniwa wa KCSE wa 2024,,swh_Latn,9,Education
"Amabaga 46,000 yabarimu beukuru yoboroso atangasirwe, chisukuru chiesekenderi ya inse, amo nechisekenderi atangasirwe nomoerio bwogotoma gosaba emeremo eyio nechitariki 7 omotienyi oikomi, omwaka 2024","Tangazo la nafasi 46,000 za kufundisha katika shule za msingi, sekondari za chini, na sekondari huku tarehe ya mwisho ya kutuma maombi ikiwa Oktoba 7, 2024",,swh_Latn,13,Education
"Ebirasi 1,500 biogosomera biabana baria bare noboremaru biaagachirwe, rusia na koira omwana oo nyuma ya chitariki 6 omotienyi omotangani!","Vitengo vipya 1,500 vya mahitaji maalum vilivyojengwa. Hamishia mtoto wako kabla ya Januari 6!",,swh_Latn,14,Education
Richiko riogotamboka gochia ayio emia ase emia: Kera omwana goika abe osoire esukuru nyuma yechitariki 6 omotienyi omotang'ani. Gotamera kende tikoiyo!,Sera ya mpito 100%: Kila mtoto lazima awe shuleni Januari 6 hakuna visingizio!,,swh_Latn,15,Education
Richiko riogotamboka gochia ayio emia ase emia: Mwana onde tari orairore ekerasi kia 8 korwa omwaka 2025.,Sera ya mpito 100%: Hakuna mtoto kurudia Darasa la 8 kuanzia 2025.,,swh_Latn,16,Education
Okonganya emia ase amia: Kera omwana bwegeredi gia 6 goika soe esukuru yesekenderi ya inse (JSS) kobera nka tikoiyo!,"Mpito 100%: Kila Darasa la 6 lazima aripoti kwa JSS ""hakuna kukaa nyumbani!""",,swh_Latn,17,Education
"Chibesa chiria chiogokonya abana ase abana 15,000 ase amasomo esekenderi ase abana baria bare ase chingongo chinyomo, toma ogosa nyuma yomotienyi 11 goetra ofisi chiekaonti yao!","Ufadhili kamili wa masomo 15,000 wa sekondari kwa kaunti kame ...",,swh_Latn,18,Education
"Abasemia bebirengererio biobongo 2,000 batomirwe gochia chisukuru chiesekenderi, rigia ribaga rero!","Washauri wapya 2,000 wa afya ya akili waliotumwa katika shule za upili ""weka nafasi leo!""",,swh_Latn,19,Education
Omoroberio bweserikari kobwaterana neserikari ya Hungary (Hungaricum scholarships) oigoirwe ase 200 ase baria basomeire edigrii entang’ani bachie gosoma.,Ufadhili wa masomo 200 wa Stipendium Hungaricum umefunguliwa kwa wanafunzi wa shahada ya kwanza wa Kenya.,,swh_Latn,22,Education
"Amabaga amayia 3,000 yabarimu yamaremaru ao ao batomirwe chisukuru, omwana oo nabe okonyore obokonyi gochkera omotieny omtang'ani!","Walimu wapya 3,000 wenye mahitaji maalum waliotumwa ""mtoto wako anapata usaidizi kutoka Jan!",,swh_Latn,23,Education
Access education! Enroll pastoralist children in mobile schools.,Pata elimu! Waandikishe watoto wafugaji katika shule zinazohamishika.,,swh_Latn,28,Education
Nyora amasomo goetera omoroberio bweserikari (Edu TV) okera rituko,Fikia EduTV kupitia Kenya Education Cloud kila siku.,,swh_Latn,29,Education
banyorire omoroberio bwokoegwa ebitabu biogosomera chisukuru chiria chire ime mono batari korwa kende,Pata rasilimali za bure! Sambaza vitabu vya kiada vya bure kwa shule za vijijini.,,swh_Latn,31,Education
abana bechisekenderi chia inse nigo bakonyora amatemwa abo na buna bakorete korwa ase KPSEA korwa omotienyi etariki eyemo yomoyienyi 12 goetera chisukuru chiabo.,Pata matokeo ya KPSEA kuanzia Desemba 1 kupitia lango la shule.,,swh_Latn,32,Education
Nyora amairanerio yamatemwa PSEA goetra chisuru chiabo korwa etariki eyemo yomotienyi oikomi na kabere 2025.,"Fikia matokeo ya KPSEA kupitia lango la shule kuanzia Desemba 1, 2025.",,swh_Latn,33,Education
nkonyora bare amairanerio yamatemwa abo gotera chisukuru chiabo korwa etariki eyemo yomotienyi 12.,Pata matokeo kupitia lango la shule kuanzia Desemba 1.,,swh_Latn,35,Education
nyora ebitabu biamachiko ase baria bagosoma amo neamate,Maandishi ya kisheria yanayopatikana kwa urahisi kwa wanafunzi na umma,,swh_Latn,36,Education
Chisemi chia abanto abanene nchigorwe omotienyi omotang'ani ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ register free at any public primary school.,Vituo vya elimu ya watu wazima vitafunguliwa tena Januari 13 jiandikishe bure katika shule yoyote ya msingi ya umma.,,swh_Latn,38,Education
"Chisemi chia abanto abanene nchigorwe omotienyi omotang'ani chitariki 13, erike bosa ase ofisi yomogambi bono!",Madarasa ya kusoma na kuandika ya watu wazima yataanza tena Januari 13 jiandikishe bure katika ofisi ya mkuu wa shule sasa!,,swh_Latn,39,Education
