row_id,PSA_ID,Domain,English,Kiswahili,Ekegusii,has_ekegusii,len_outlier,reviewer_verdict,reviewer_notes
2627,3440,Governance,Apply for Developer/Operator LicenseÃ‚ through our E-Citizen portal Ã¢ ‚¬ ¹ E-Citizen Portal Link Ã¢ ‚¬ ¹ Ã¢ ‚¬ ¹,Tuma maombi ya Leseni ya Msanidi Programu/Mendeshaji kupitia lango letu la E-Citizen - Kiungo cha Lango la E-Citizen -,Toma ogosaba kwao goitabwa neserikari koba Omoteneneri goetera egekoreri giaito gia E-Citizen ¬ E-Citizen Portal Link Ã¢.,True,False,,
298,365,Education,Free voter education app launched ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ scan QR code in your classroom today.,Programu ya elimu ya mpiga kura bila malipo imezinduliwa âƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ skani msimbo wa QR darasani mwako leo.,"Egekoreri kegosomia amasomo obegasaku bosa giachakirwe, eka ebicha koyonyora abwo ase enyomba yogosomera yesukuru.",True,False,,
2504,3305,Governance,"Met Department warns Kenyans to brace for heavy rainfall, cold nights of below 10 degrees Kenya 7 months ago by Didacus Malowa Kenyans should prepare for a prolonged bout of heavy rainfall and biting cold nights, with temperatures expected to plunge below 10Ã‚ °C in some regions.","Idara ya Met yaonya Wakenya kujiandaa kwa mvua kubwa, usiku wa baridi chini ya nyuzi joto 10 Kenya miezi 7 iliyopita na Didacus Malowa Wakenya wanapaswa kujiandaa kwa kipindi kirefu cha mvua kubwa na usiku wa baridi kali, huku halijoto ikitarajiwa kushuka chini ya nyuzi joto 10 katika baadhi ya maeneo.","Abarengi rire barure ogokurerwa igorbore inse yechidigiri 10 emetienyi 7 yaetire goetera Didacus Malowa nere buya Abakenya kwearigania ase embura entanbe amo nobokengentu botuko, abwo ase riberera rirabe inse kegima yechidigiri 10Ã‚ °ase chingongo gete.",True,False,,
2367,3164,Security,IG bans possession of arms in designated areas.,IG inapiga marufuku umiliki wa silaha katika maeneo yaliyotengwa.,Omonene bwa'basikari IG okanire abanto kobogoria gose koba nechibunduki emeyega gose ogosangerekana gokobera.,True,False,,
1465,2072,Agriculture,"Learn about extension services available in your area from KALRO. Know how to access advice, training, and support.","Jifunze kuhusu huduma za ugani zinazopatikana katika eneo lako kutoka KALRO. Jua jinsi ya kupata ushauri, mafunzo, na usaidizi.","Egera igoro yabasemia boboremi bare ange naye korwa KALRO. Manya buna oranyore ogosemia korwa ase bare, ogosomigwa, na gosirwa.",True,False,,
1983,2665,Security,Report suspicious activities in your neighborhood to police immediately.,Ripoti shughuli zinazotiliwa shaka katika mtaa wako kwa polisi mara moja.,mnyia amangan ore nechitangutangu naro agokorekeka ase chiamate chiao gochia ase omogambi gose abasikari kegima.,True,False,,
162,212,Education,Drink safe water! Prevent cholera in schools.,Kunywa maji salama! Zuia kipindupindu shuleni.,Kanywe amache atabwati ebinyinyi! Tanga endwari yogosaa ase chisukuru.,True,False,,
1575,2218,Agriculture,The pilot projects of the Mitigation of Climate Change in Agriculture (MICCA) Programme of FAO in Kenya and the United Republic of Tanzania have integrated ...,Miradi ya majaribio ya Mpango wa Kupunguza Mabadiliko ya Tabianchi katika Kilimo (MICCA) wa FAO nchini Kenya na Jamhuri ya Muungano wa Tanzania imeunganisha ...,Omoroberio moke ochagetwe ase ogotanga ogoonchoreria kwerire ase omorobewrio bwoboremi (MICCA) na FAO aiga Kenya na United Republic of Tanzania bwabwatanirie...,True,False,,
605,970,Education,Shade answers in circles on OMR sheets for KPSEA 2025.,Weka majibu kwenye miduara kwenye karatasi za OMR kwa KPSEA 2025.,Ngororia amachibu ase ogwata o ase on OMR sheets for KPSEA 2025.,True,False,,
1272,1816,Agriculture,... Push Pull Technology is revolutionizing cowpea farming in Western Kenya. 16 July 2025. More News. Latest Updates. UK-CGIAR News. Exploring the ...,... Teknolojia ya Push Pull inaleta mapinduzi makubwa katika kilimo cha kunde Magharibi mwa Kenya. 16 Julai 2025. Habari Zaidi. Masasisho Mapya. Habari za Uingereza-CGIAR. Kuchunguza ...,Chisemi chiegesayansi chirengete goseria gose kobwata amakonde nebichuni bigosaria endagera mogondo ase okobukania ebimeri mogondo buna chimbisi aaria songo ya Kenya. 6 July 2025. More News. Latest Updates. UK-CGIAR News. Exploring the …,True,False,,
1220,1757,Health,"New policy by the government mandating flexible scheduling, stress management training, and wellness breaks in government offices.","Sera mpya ya serikali inayoagiza ratiba inayobadilika, mafunzo ya usimamizi wa msongo wa mawazo, na mapumziko ya ustawi katika ofisi za serikali.","Ogochika okwororo okoyia,amaegerioigoro ogoichorerana kwa obongo na omotimoko omoya ase chiafisi chia eserekari",True,False,,
1200,1731,Health,Public announcement of competition to promote local nutritious recipes using fortified or indigenous ingredients.,Tangazo la umma la shindano la kutangaza mapishi yenye virutubisho vya kienyeji kwa kutumia viungo vilivyoongezwa virutubisho au vya asili.,"Okorari amaamereranio ase oborugi ase abanto, ase chindagera chia egekoro gotumia ebinto bikomenta obotobu gose ebikoro",True,False,,
211,264,Education,Ensure compliance with school safety manual.,Hakikisha kufuata mwongozo wa usalama wa shule.,Rora nga noikeranetie amachiko yoborendi bwesukuru buna are ase egetabu kiamachiko echisukuru.,True,False,,
1370,1960,Agriculture,Effective cooperative management relies on clear rules and good governance. Learn the essentials for running a successful credit group.,Usimamizi mzuri wa ushirikiano hutegemea sheria zilizo wazi na utawala bora. Jifunze mambo muhimu ya kuendesha kikundi cha mikopo chenye mafanikio.,Oboteneri obuya ase ebiombe bioboremi nigo borengete amachiko amaya na obokoreri oboikeranu. Egera igoro yebiganeirie koraa eeombe gekorwa obonyi bwechibesa.,True,False,,
433,740,Education,Modernize learning! Install smart boards in classrooms.,Boresha ujifunzaji! Sakinisha mbao mahiri darasani.,Kora ogosoma okoyia! Ibeka ebinto biria biokoererania chinkwana gati yabarimu nabana ase eborore biebirasi ime.,True,False,,
2889,3750,Governance,National Assembly Speaker Moses Wetang’ula urges county governments to support the government’s push to have Kenyans register for SHA.,Spika wa Bunge la Kitaifa Moses Wetang’ula anazisihi serikali za kaunti kuunga mkono juhudi za serikali za kuwataka Wakenya kujiandikisha katika SHA.,omonogeri ase bunged enene yense Moses wetangula orure okoboria gochia ase chiserekari chiechikaunti koenekia ng'a abanto bonsi kwerikia ase omoroberio bw'obobwenia SHA,True,False,,
