PSA_ID,Domain,English,Ekegusii
HEA_00001,Health,Ministry of Health urges residents of Nyandarua County to complete the full recommended vaccination dose following a rise in reported tuberculosis cases.,"Obosae bwe'ritongo nigo bogosaba abamenyi ba Nyandarua County goika gochia ase okomanya oborwa bwe'ndwari ya tuberculosis, bagende goika bagie gochira chindwara chionsi chio'gokonywa."
HEA_00002,Health,CDC urges residents of Taita-Taveta County to seek immediate testing at the nearest health facility following a rise in reported cyclosporiasis cases.,CDC yaboririe abaturageti ba Taita-Taveta County gocha gose goceka oborwaro ase echipatiri eria eri habe erio gokonywa konyora obonyamokoro bwa cyclosporiasis obo bwareire ase obwato bwa §MONTH0§ §YEAR0§.
HEA_00003,Health,SHA (Social Health Authority) urges residents of Embu County to use insecticide-treated mosquito nets every night following a rise in reported dengue fever cases.,Ekeombe gia SHA nikioririe abanainchi ba Embu County goikoresia chineti chio obokoreri bwa chinsumburu chire ne dawa chiro gete na gete konyora oboremi bwa dengue fever obo bwarengire.
HEA_00004,Health,CDC urges residents of Tharaka-Nithi County to avoid contact with contaminated water sources following a rise in reported dengue fever cases.,"CDC nigo egochaka abanto bose be Tharaka-Nithi County koba nigo bagotiga okonyora amache ayo ayang'anete oborwaire, konyora obonge bwoborwaire bwa dengue fever."
HEA_00005,Health,Ministry of Health - Reproductive Health Unit reminds the public that free cholera screening is available at all public health centres in Vihiga County this May.,Ekeombe gia Oboroche (Ministry of Health) - Ekeombe gia Oboroche bwa Abanto (Reproductive Health Unit) nigo gikwibokia abanainchi ng'a ogosimwa kwa chindwara chia cholera nigo kwoigoirwe ase chinsitio chiomoboroche bionse bia abanainchi aaria Vihiga County ase omotienyi 5.
HEA_00006,Health,Kenya Medical Association reminds the public that free measles screening is available at all public health centres in Kiambu County this May.,Ekeombe gia Kenya Medical Association kigoibokia abanto bonse buna ogosimwa kwa endwara ya emesere kware ase chinchokoro chiose chiabafia ase Kiambu County ase omotienyi 5.
HEA_00007,Health,Division of Disease Surveillance and Response reminds the public that free cyclosporiasis screening is available at all public health centres in Garissa County this February.,Ewizarà yechindwara nchera yobokoreri nigo ekobasoka abanto buna okorigereria chindwara chia cyclosporiasis nigo koriganete ase chinchera chiogokonya abanto chiochire chieserikari ase Garissa County ase omotienyi 2.
HEA_00008,Health,Division of Disease Surveillance and Response urges residents of Turkana County to seek immediate testing at the nearest health facility following a rise in reported typhoid cases.,"Ekeombe keria gekorora oborwaro na ogokonyora (Division of Disease Surveillance and Response) nikoboria abanto bose ba Turkana County gochia gokorwa oborwaro bwa typhoid ase ebitengo bi'obochori biria biri habe, ekero oborwaro obwo bwakire ase §MONTH0§ §YEAR0§, §NUM0§."
HEA_00009,Health,CDC calls on parents in Wajir County to have children under five screened for malaria during the July outreach.,CDC nigo erangerete abamama na ababa ase Wajir County gochia na abana baria bare ase emiaka etano gose egosegwa malaria ekero kia omotienyi 7.
HEA_00010,Health,Public health advisory: Kenya Red Cross warns of increased HIV/AIDS risk in Siaya County and advises the public to use insecticide-treated mosquito nets every night.,Omoigwano bwoborogori bwa abanto: Kenya Red Cross nigo egochengeria oboremi bwa HIV/AIDS obwongererekete ase Siaya County na gochiria abanto gosekerera chineti chiachire chire ne dawa ya chinsumbwi chiro chioro.
HEA_00011,Health,SHA (Social Health Authority) reminds the public that free tuberculosis screening is available at all public health centres in Kilifi County this November.,Ekeombe kia SHA (Social Health Authority) nigo gikwibokia abanto bonsi buna ogosomwa kwa oborwaire bwa kifua kikuu nigo kwoigwanene ase chivitali chionsi chia eserekari ime yekaonti ya Kilifi ase omotienyi 11.
HEA_00012,Health,Notice: SHA (Social Health Authority) confirms a cyclosporiasis outbreak alert for Kitui County. Residents are advised to report any suspected cases to community health volunteers.,Eritang'ani: Ekeombe kia Social Health Authority (SHA) nigo kiremerete amang'ana amanyinge igoro y'amarwaire aya cyclosporiasis ase Kitui County. Abanto mbagwenerete konyora amang'ana na gochi gokwanerwa ase abakonyi b'oborigori bwa abanto (community health volunteers) ekero baranyare korora omonto orenge na amarwaire ayo.
HEA_00013,Health,Division of Disease Surveillance and Response calls on parents in Isiolo County to have children under five screened for HIV/AIDS during the June outreach.,Ekerengo gia oborebi bwe chindwa na ogokorera chindwa nkoraba abanyabana aaria ekaonti ya Isiolo ng'a babate abana abari ase emiaka etano barorewe HIV/AIDS ase ogosaka okobate abanto okwanchire ase omotienyi 6.
HEA_00014,Health,Kenya Red Cross reminds the public that free malaria screening is available at all public health centres in Kisii County this November.,Ekeombe gia Kenya Red Cross nkoribokia abanto buna okororwa oborwa bwa malaria ase obwango nkorwa ase chisentra chionsi chia obochari bwa amagaka ime yense ya Kisii County ase omotienyi 11.
HEA_00015,Health,Public health advisory: KEMSA warns of increased tuberculosis risk in Kericho County and advises the public to complete the full recommended vaccination dose.,
HEA_00016,Health,Kenya Medical Association calls on parents in Nyandarua County to have children under five screened for dengue fever during the November outreach.,Ekeombe kio Ababwenia ba Kenya (Kenya Medical Association) nigo kigocha abaiyebiri ase Nyandarua County goika barore abana baria bare ase emiaka etano barorekanwe ase oborwaire bwa dengue ase omwaka bwa omotienyi 11.
HEA_00017,Health,Division of Disease Surveillance and Response reminds the public that free cholera screening is available at all public health centres in Tana River County this April.,Egesaku gie korigia na gokora oboegereri bwe ndwari nigo korigia abanto buna okorora ndwari ya cholela nigo kware ase obisi chiensi chiokomanyekana ase Tana River County ase omotienyi 4.
HEA_00018,Health,Notice: Kenya Medical Association confirms a tuberculosis outbreak alert for Nyandarua County. Residents are advised to use insecticide-treated mosquito nets every night.,Ekeriokererio: Ekeama kiabachireti ba Kenya nigo gokorete amachiko a ogotanga oborwaire bwa kifua kikuu ase Nyandarua County. Abanto barakomigwe gosekerera chindavu chio oborwaire bwa mbu kera obotuko.
HEA_00019,Health,Notice: KEMRI confirms a cyclosporiasis outbreak alert for Kisumu County. Residents are advised to avoid contact with contaminated water sources.,Ogochoka: KEMRI nigo ekworekeria oborwaire bwa cyclosporiasis ase Kisumu County. Abaturageti baragerirwe goseka gochoka ase amache ayo abwate oborwaire.
HEA_00020,Health,Kenya Red Cross reminds the public that free dengue fever screening is available at all public health centres in Mandera County this April.,Kenya Red Cross eribokirie abanto buna okogemwa kwa dengue fever kwa bosa nigo kure ase chinyomba chiomonyagetari chiose chia serikari ime ya Mandera County ime yechimo ya omotienyi 4.
HEA_00021,Health,Public health advisory: Kenya Red Cross warns of increased meningitis risk in Vihiga County and advises the public to avoid contact with contaminated water sources.,Ogochaka kwo'bochenu bwa abanto: Kenya Red Cross nigo egoteba buna oboremo bwa meningitis bwakire mono ime ya Vihiga County na goboria abanto batagose goikera amache ayanyare gose gochaka oborwaire.
HEA_00022,Health,Notice: KEMRI confirms a Rift Valley Fever outbreak alert for Mandera County. Residents are advised to seek immediate testing at the nearest health facility.,Okoraria: KEMRI neyemanyeretie ng'a oborwaire bwa Rift Valley Fever bwatoka ase ekaunti ya Mandera. Abamenyi baragirigwe gochia gocekerwa oborwaire ase ebitaseni bioborwaria biari habe.
HEA_00023,Health,SHA (Social Health Authority) urges residents of Marsabit County to avoid contact with contaminated water sources following a rise in reported measles cases.,Ekeombe keria gietenererete obobure bwechisemi (SHA) kiorangerete abamenyi ba Marsabit County goika barege ogokorana namache ayo abire gochaka oborwaire bwechisukuma (measles) obo bwarengire ase obonge.
HEA_00024,Health,Public health advisory: SHA (Social Health Authority) warns of increased meningitis risk in Samburu County and advises the public to avoid contact with contaminated water sources.,Omoroberio bwoborogori bwebitong'o: Ekeombe keria ekenene getenerete oborogori bwebitong'o (SHA) kigoteba nigo kware obwango bwo oborwari bwa meningitis ase Samburu County na koriganiria abanto bonsi goika barenge goikera na amache ayo atari amaya.
HEA_00025,Health,Public health advisory: Kenya Red Cross warns of increased malaria risk in Bomet County and advises the public to use insecticide-treated mosquito nets every night.,Okorigia kwobochenu: Ekeombe kia Kenya Red Cross nigo korigia igoro yoboremo bwa malaria ase Bomet County na korigia abamenyi goikoresia chineti chio oborwa chiri na dawa ya chimbusi chiro chionsi.
HEA_00026,Health,Notice: Division of Disease Surveillance and Response confirms a cyclosporiasis outbreak alert for Wajir County. Residents are advised to complete the full recommended vaccination dose.,
