word,ipa,swahili_gloss,swahili_pos,english_gloss,english_pos,line_no
a,â:,,,,,465
a !,a,,,,,466
a-,ˋ a,,,,,467
-a,a,-pa,kt,kiambishi ko- kikiwekwa nyuma) give,v,468
a,a,,,,,469
aa,a:,,,,,470
àá !,a:,,,,,471
aa,a:,chuma,kt,pluck,v,472
aa,a:,pa,kv,their,adj,473
aakong’u,a:k ɔ ŋgu,,,,,474
a|ao,a: ɔ,,,,,475
aabe,a: ꞵ e,pabaya,kv,a bad place,adj,476
aabibo,a: ꞵiꞵ o,pagumu,kv,strong,adj,477
a|abo,a: ꞵ ɔ,pao,kv,their (place),adj,478
aabuchu,a: ꞵ u ʧ u,,,,,479
pakubwa,,,,,,479
spacious,,,,,,479
aagare,a: ɣ a ɾ e,,,,,480
aagare,a: ɣ a ɾɛ,,,,,481
aageni,a: ɣɛ ni,pageni,kv,new place,adj,482
a|aito,a:ito,,,,,483
a|ande,a:nde,,,,,484
aande,a:nde,,,,,485
a|ande,a:nde,,,,,486
a|ao,a: ɔ,,,,,487
aase,,,,,,487
a|are,a: ɾɛ,,,,,488
aaria,a: ɾ ia,,,,,489
a|aye,a:j ɛ,,,,,490
tari,,,,,,490
a|ayia,a:jia,,,,,491
abachage,a ꞵ a ʧ a ɣ e,msichana aliyejifungulia kwao kabla ya kuolewa,nmn,girl who gives birth before marriage,n,492
abagasereri,a ꞵ a ɣ ase ɾ e ɾ i,,,,,493
abagosiganana,a ꞵ a ɣ osi ɣ anana,,,,,494
abagosiganerana,a ꞵ a ɣ osi ɣ ane ɾ ana,,,,,495
abagotegererana,a ꞵ a ɣ ote ɣ e ɾ e ɾ ana,,,,,496
abaguroswa,a ꞵ a ɣ u ɾɔ swa,1. adui,nmn,enemies,n,497
ababisa,,,,,,497
abagusii,a ꞵ a ɣ usi:,,,,,498
abaiga,a ꞵ ai ɣ a,,,,,499
abaigwa,a ꞵ ai ɣ wa,wapwa,nmn,nephew. niece ob,n,500
abaigwa,,,,,,500
abaigwa,,,,,,500
abaigwanaine,a ꞵ ai ɣ wanaine,,,,,501
abainchirisiti,a ꞵ ain ʧɾ isiti,,,,,502
abakatikisita,a ꞵ akatikisita,,,,,503
abakatinari,a ꞵ akatina ɾ i,,,,,504
abakobogorerania,a ꞵ ako ꞵ o ɣ o ɾ e ɾ ania,,,,,505
abakoro,a ꞵ ako ɾ o,ert. wahenga,kv,"nmn. 1.ancestors. 2. sages, forebares. abanto baito b’akare baria batoigekererete emebayeno n’emerabaro, chinkongoro, chinkomoro, chindabasi, ching’unenki amo n’ebimagani, chinsabagera a",n,506
abakurumi,a ꞵ aku ɾ umi,,,,,507
abamwabo bao,a ꞵ amwa ꞵ o ꞵ ao,ert. binamuzo,kv,nmn. your cousins,n,508
abamwabo baye,a ꞵ amwa ꞵ o ꞵ aj ɛ,binamu zenu,nmn,his.her cousins,n,509
abarumi,a ꞵ a ɾ umi,Warumi,nmn,Romans,n,510
abasaki,a ꞵ asaki,,,,,511
wasakaji,,,,,,511
abasakori,a ꞵ asako ɾ i,,,,,512
abasikaine,aꞵ asikaine,ert. waheshimianao,nmn,people who respect each other,v,513
abatagotomana,a ꞵ ata ɣ otamana,,,,,514
abatagotomana,a ꞵ ata ɣ otamana,,,,,515
abatakogenkana,a ꞵ atak ɔɣɛ nkana,ert. wasiosengenyana,kv,those who do not backbite,v,516
abatancheti,a ꞵ atan ʧ eti,,,,,517
abategereranetie,a ꞵ at ɛɣɛɾɛɾ anetie,ert. wasikilizanao,kv,those who listen to each other,v,518
abatingichu,a ꞵ atin ŋ i ʧ u,ert. wadhaifu,kv,nmn. 1 . sickly. 2 . weak 3 . frail,v,519
abatondereri,a ꞵ atondere ɾ i,"ert. watalaleshi, wafakachi, watetezi, mpayukaji · msengenyi",kv,nmn gossipers,n,520
abatancheti,a ꞵ atan ʧ eti,,,,,521
wapinzani,,,,,,521
abategereranete,a ꞵ ata ɣɛɾɛɾ anete,wanaosikizana,kv,those who listen to each other,v,522
abatingichu,a ꞵ atin ŋ i ʧ u,,,,,523
sickly,,,,,,523
