PSA_ID,Domain,Sub_Category,English,Kiswahili,Target_Language,Source,Date,Metadata
HEALTH_001,Health,,"We are advising all health workers to ensure they are wearing masks and PPEs at all times. 
Please take all the measures we have announced seriously.","Tunawashauri wafanyakazi wote wa afya kuhakikisha wamevaa barakoa na vifaa vya kujikinga wakati wote.

Tafadhali chukua hatua zote ambazo tumetangaza kwa uzito.",,https://www.instagram.com/reel/DZfhX7ys8F1/,,original_id=1262; class=extracted_from_class_dataset
HEALTH_002,Health,,"Restaurants must;
1.ensure quality & safety of food, rinse &sanitize food contact surfaces, disinfect surfaces, floors & counters.
2.Install adequate portable running water & accessible washing basins for hand washing purposes, at the entrance & exit points.","Mikahawa lazima;
1. kuhakikisha ubora na usalama wa chakula, suuza na usafi wa nyuso zinazogusa chakula, safisha nyuso, sakafu na kaunta.
2. Weka maji ya kutosha yanayobebeka na beseni za kufulia zinazoweza kufikika kwa ajili ya kunawia mikono, kwenye sehemu za kuingilia na za kutokea.",,https://www.facebook.com/kebs.org/posts/press-releases-kebs-issues-covid-19-hygiene-and-safety-protocols-for-food-busine/5009057725833580/,,original_id=1263; class=extracted_from_class_dataset
HEALTH_003,Health,,"We are advising members of the public to put on masks when getting into a matatu one is advised to put on a mask.
Local production of masks and PPEs has began","Tunawashauri wananchi kuvaa barakoa wanapoingia kwenye matatu, mtu anashauriwa kuvaa barakoa.

Uzalishaji wa barakoa na vifaa vya kujikinga umeanza.",,https://www.facebook.com/KTNNewsKenya/posts/health-ministry-lifts-rule-requiring-kenyans-to-wear-facemasks-in-public-places-/3068158690113363/,,original_id=1264; class=extracted_from_class_dataset
HEALTH_004,Health,,"This are the first steps to keeping your family safe from Covid 19;
1.Wash your hands regularly with soap & running water
2. Cover your mouth and nose with a flexed elbow or tissue, when coughing or sneezing.
3.Avoid close contact with anyone who has cold or flu-like symptoms","Hizi ni hatua za kwanza za kulinda familia yako kutokana na Covid 19;
1. Osha mikono yako mara kwa mara kwa sabuni na maji yanayotiririka
2. Funika mdomo na pua yako kwa kiwiko au tishu iliyokunjwa, unapokohoa au kupiga chafya.
3. Epuka kugusana kwa karibu na mtu yeyote ambaye ana dalili za mafua au mafua.",,https://www.facebook.com/MinistryofHealthTT/posts/protect-yourself-and-your-loved-ones-from-getting-the-novelcoronavirus-by-follow/3110268189002968/,,original_id=1265; class=extracted_from_class_dataset
HEALTH_005,Health,,Alcohol and Smoking will increase the risks of having high blood pressure. While you STAY AT HOME reduce alcohol intake and smoking.,Pombe na Uvutaji Sigara vitaongeza hatari za kuwa na shinikizo la damu. Unapokaa NYUMBANI punguza unywaji wa pombe na uvutaji sigara.,,https://en.wikipedia.org/wiki/Kenya,,original_id=1266; class=extracted_from_class_dataset
HEALTH_006,Health,,"Be safe from coronavirus.Washing your hands is the most important way to stop transmission.
1.Wet hands
2.Apply enough soap
3.Scrub all surfaces of the hands for 20-30 seconds.
4.Rinse thoroughly with running water
5.Dry hands with a clean cloth or single-use towel","Kuwa salama kutokana na virusi vya corona. Kuosha mikono yako ndiyo njia muhimu zaidi ya kuzuia maambukizi.

1. Lowesha mikono
2. Paka sabuni ya kutosha
3. Sugua sehemu zote za mikono kwa sekunde 20-30.

4. Suuza vizuri na maji yanayotiririka
5. Kausha mikono kwa kitambaa safi au taulo ya matumizi moja",,https://www.facebook.com/UNICEFKenya/posts/one-of-the-most-effective-ways-to-protect-yourself-from-coronavirus-is-washing-y/2898164520265020/,,original_id=1267; class=extracted_from_class_dataset
HEALTH_007,Health,,"How to boost your immune system against the COVID-19;
1. Stay hydrated - drink 3-4 litres of water daily.
2. Take antioxidant-rich diet - amla, guava, green leafy veggies, spinach, garlic, green tea, peppers, turmeric
3. Exercise
4. Meditation
5. Quality sleep","Jinsi ya kuimarisha kinga yako dhidi ya COVID-19;
1. Endelea kuwa na maji mwilini - kunywa lita 3-4 za maji kila siku.
2. Chukua lishe yenye vioksidishaji vingi - amla, guava, mboga za majani mabichi, mchicha, kitunguu saumu, chai ya kijani, pilipili hoho, manjano
3. Mazoezi
4. Kutafakari
5. Usingizi bora",,https://www.researchgate.net/publication/352233521_Effect_of_water_consumption_over_the_immune_system_response_given_during_Covid-19,,original_id=1268; class=extracted_from_class_dataset
HEALTH_008,Health,,You have to be registered to get the COVID-19 vaccine.  You can do this at the nearest health facility or be registering on the MOH_Kenya website (http://health.go.ke). All you need is your ID card. Kindly assist your elderly relatives to get registered,Lazima uwe umesajiliwa ili kupata chanjo ya COVID-19. Unaweza kufanya hivi katika kituo cha afya kilicho karibu au kujiandikisha kwenye tovuti ya MOH_Kenya (http://health.go.ke). Unachohitaji ni kitambulisho chako. Tafadhali wasaidie jamaa zako wazee kujiandikisha.,,https://www.facebook.com/SpokesPersonKenya/posts/everyone-above-the-age-of-58-and-above-is-asked-to-visit-any-of-the-following-fa/3625985440860631/,,original_id=1269; class=extracted_from_class_dataset
HEALTH_009,Health,,"Health CS Mutahi Kagwe says total lockdown on the table if coronavirus cases escalate, urges Kenyans to limit social interactions.","Waziri wa Afya Mutahi Kagwe anasema amri ya kutotoka nje ikiwa visa vya virusi vya corona vitaongezeka, anawahimiza Wakenya kupunguza mwingiliano wa kijamii.",,https://www.facebook.com/nation/posts/coming-next-two-weeks-most-critical-for-the-country-in-fight-against-coronavirus/10158502365389497/,,original_id=1270; class=extracted_from_class_dataset
HEALTH_010,Health,,"Covid-19 variant from India detected in Kenya, MoH says the case was reported in Kisumu.","Wizara ya Afya inasema kisa hicho kiliripotiwa Kisumu, aina ya Covid-19 kutoka India ikigunduliwa nchini Kenya.",,https://pmc.ncbi.nlm.nih.gov/articles/PMC8902869/,,original_id=1271; class=extracted_from_class_dataset
