PSA_Id,Domain,Class,English,Ekegusii
7,Education,PSA,[Health Protocols] Comprehensive COVID-19 health and safety protocols for school reopening including mandatory masks and temperature monitoring,[Amachiko Obochenu] Ase oboikeranu amachiko obochenu igoro yendwari Yenyamayaa (COVID-19) ase chisukuru koigora amo nogochika kobeka ebitambaa biogotuma emenwa nechiomioro na gopima ribera ase omobere
8,Education,PSA,[Kenya Education Cloud] Digital learning platform providing free educational content during COVID-19 pandemic for remote learning continuity,[Omoreberio bwamasomo bwechisemi o'Kenya goetera enchera yegedichitari nigo biakorwa amaosomo bosa chingaki chiendwari ya COVID-19 erio goikerania amosomo kogenderera
9,Education,PSA,[KUCCPS Portal] KUCCPS portal will open in March 2025 for university placement and course selection for 2024 KCSE candidates,[Eintaneti yekeombe keria ekenen gekorangeria abana gochia eyunifasisiti nechikorechi (KUCCP) neigoro omotienyi ogatato omwaka 2025 noigore ase abana beyunifasity na gochora chikosi chiabo ase  abana baria barigete amatemwa abo esekondari 2024
10,Education,PSA,[School Feeding Scale-up] Target to increase school feeding beneficiaries from 1.9 million to over 10 million children by 2030,[Omoroberio bwokorageria chuisukuru nomente] Norengete kogesa abana bakoyeria nechisukuru korwa chimirioni 1.9 goika chimirioni 10 nyuma ya omwaka 2030
11,Education,PSA,[Special Needs Education] Launch of inclusive education programs with assistive technology for learners with disabilities,"[Chisemi ase baria abaremaru] Omoroberio bwogochaka chisemi ase bonsi goetera ebinto biria bogokonya emeuko, amatino na amamama ochakirwe ase abaremaru abwo bonsi "
13,Education,PSA,"[TSC Recruitment] Advertisement for 46,000 teaching positions across primary, junior secondary, and secondary schools with application deadline October 7, 2024","[Buna Ekeombe Ekenene Gekorika ] Amabaga 46,000 yabarimu beukuru yoboroso atangasirwe, chisukuru chiesekenderi ya inse, amo nechisekenderi atangasirwe nomoerio bwogotoma gosaba emeremo eyio nechitariki 7 omotienyi oikomi, omwaka 2024"
16,Education,PSA,100% transition policy: No child to repeat Class 8 from 2025.,Richiko riogotamboka gochia ayio emia ase emia: Mwana onde tari orairore ekerasi kia 8 korwa omwaka 2025.
20,Education,PSA,"2,014 permanent and pensionable posts for secondary school teachers.","Amabaga ya abarimu 2,014 ase omoroberio o’pamanenti nechibesa chiobogotu atoirwe"
22,Education,PSA,200 Stipendium Hungaricum scholarships open for Kenyan undergraduate students.,Omoroberio bweserikari kobwaterana neserikari ya Hungary (Hungaricum scholarships) oigoirwe ase 200 ase baria basomeire edigrii entang’ani bachie gosoma.
28,Education,PSA,Access education! Enroll pastoralist children in mobile schools.,Access education! Enroll pastoralist children in mobile schools.
29,Education,PSA,Access EduTV via Kenya Education Cloud daily.,Nyora amasomo goetera omoroberio bweserikari (Edu TV) okera rituko
